"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"whimperbracelet","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"whimsical","Given to whimsy.","The word ___ is important to understand.","4","Advanced","From .","","","/ˈwɪmzɪkəl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"whine","A long-drawn, high-pitched complaining cry or sound","The word ___ is important to understand.","1","Beginner","
From , , , from , from , from , from . Cognate with , whence , , , and . Despite the strong similarity in sound and meaning, not related with , , from  (for which see dialectal ).","","","/waɪn/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"whipped","To hit with a whip.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ʍɪpt/","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"whippoorwill","A nocturnal insectivorous bird of North America, Caprimulgus vociferus, a type of nightjar, named after its characteristic call.","The word ___ is important to understand.","4","Advanced","Imitative of its note.","","","/ˈwɪp.ə.ˌwɪl/","Remember the double L, P, O","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"whippoorwillficus","","","5","Expert","Etymology uncertain","","","","Remember the double L, P, O","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"whirlybird","A helicopter.","The word ___ is important to understand.","4","Advanced","From .","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/whirlybird-us.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"whisk","A quick, light sweeping motion.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/(h)wɪsk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"whiskers","That part of the beard which grows upon the sides of the face, usually of the male, or upon the chin, or upon both.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/whiskers-us.mp3","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","","Claude"
"whisper","The act of speaking in a quiet voice, especially, without vibration of the vocal cords.","The word ___ is important to understand.","2","Elementary","From , from , from , from , from , .

Cognate with , . Related also to , , , , , , . More at .","","","/ˈ(h)wɪspə/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"white","The color/colour of snow or milk; the colour of light containing equal amounts of all visible wavelengths.","The word ___ is important to understand.","1","Beginner",", , from , from , from , from , a byform of .


* 
*
* 
* 
* 
* 
* , 
* , 
* , 
* 
* .
","","","/waɪt/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"whitefish","Any of many fish.","The word ___ is important to understand.","3","Intermediate","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","","Claude"
"whittle","A knife; especially, a pocket knife, sheath knife, or clasp knife.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ˈwɪtəl/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","Dictionary API","Claude"
"whizzed","To make a whirring or hissing sound, similar to that of an object speeding through the air.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember the double Z","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Claude","","Claude"
"whole","Something complete, without any parts missing.","The word ___ is important to understand.","1","Beginner","From , , from , from , from , from . 

The spelling with ''wh-'', introduced in the 15th century, represents a pronunciation with an excrescent  that failed to survive in the standard language (compare , ).<ref name=""Dobson""></ref>


Compare , /, , ,  and , ; also , , , . Related to hale, health, hail, hallow, heal, and holy.
","","","/həʊl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wholehearted","Having no reservations; showing unconditional and enthusiastic support.","The word ___ is important to understand.","3","Intermediate","From . First appears before 1628 in the publications of , a clergyman in the .","","","/ˌhəʊlˈhɑː(ɹ)t.əd/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"whose","(interrogative) That or those of whom or belonging to whom.","The word ___ is important to understand.","1","Beginner","
From , from , from , genitive case of  .","","","/huːz/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"why","Reason","The word ___ is important to understand.","1","Beginner","From  (compare , , ), from .","","","/waɪ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"whydah","Any of various black and white African weaverbirds with distinctive drooping long tailfeathers on males in mating season, suitable as cage birds.","She will ___ the task tomorrow.","2","Elementary","Alteration of the first component of , after ''Whydah'' (now '''') in Benin.","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"wickiup","A domed hut, similar to a wigwam, used by some semi-nomadic Native American tribes, particularly in the southwestern and western United States.","The word ___ is important to understand.","2","Elementary","Wickiup-like structures were built by many Native American peoples throughout the w:Southwestern US|Southwestern United States,<ref name=encarta/> and terms similar to ''wickiup'' are present ""among Native Americans in Arizona, New Mexico, Utah, Idaho, and California"",<ref>""wickiup"", ''The Columbia Electronic Encyclopedia'', Sixth Edition (Columbia University Press, 2003) via Answers.com (23 April 2007, [http://www.answers.com/topic/wickiup])</ref> but the source of the word appears to be .<ref ","","","/ˈwɪkɪʌp/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"widdershins","The wrong way.","The word ___ is important to understand.","4","Advanced","Ca. 1500, from  (also ), from  + genitive of .","","","/ˈwɪ.də.ʃɪnz/","Remember the double D","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wide","A ball that passes so far from the batsman that the umpire deems it unplayable; the arm signal used by an umpire to signal a wide; the extra run added to the batting side's score","The word ___ is important to understand.","1","Beginner","
From , , from , from , from , a dissimilated univerbation from .

Cognate with , , , , , , , , , . Related to .","","","/wɑed/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"widely","In a wide manner; across a wide area.","The word ___ is important to understand.","2","Elementary","From , equivalent to .","","","/ˈwaɪdli/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"widget","A placeholder name for an unnamed, unspecified, or hypothetical manufactured good or product.","The word ___ is important to understand.","1","Beginner",".","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/widget-us.mp3","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"wield","To command, rule over; to possess or own.","The word ___ is important to understand.","1","Beginner","
From , a derivative of , from . Cognate with , .","","","/wiːld/","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wieldscuppers","","","4","Advanced","Etymology uncertain","","","","Remember the double P; Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Claude","",""
"wiesbadenmontmorency","","","5","Expert","Etymology uncertain","","","","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"wigan","","","1","Beginner","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"wiggle","A rapid movement in alternating opposite directions, not necessarily regular.","The word ___ is important to understand.","2","Elementary","From , probably from  and perhaps , frequentative of , from .<ref></ref> See , and . Cognate to .","","","/ˈwɪɡəl/","Remember the double G","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"wilco","(radio communications) Used to indicate agreement and compliance.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/ˈwɪl.kəʊ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"wildcat","A cat that lives in the wilderness, specifically","The word ___ is important to understand.","2","Elementary","From ,  (in the plural as , , ), equivalent to . Cognate with , , .

Its adjectival senses were originally American and derived from the ""wildcat banks"" of Michigan, following its elevation to statehood in 1837. Two one easing the requirements for establishing a new bank and another occasioned by the Panic of 1837 that removed the need for payment in led to the creation and collapse of around 50 banks within two years.<ref>Wittmann, Matthew. ""[https://web.archive.org/web/20160305134813/http://ww","The","","/ˈwaɪldˌkæt/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"wildebeest","Gnu.","The word ___ is important to understand.","3","Intermediate","Borrowed in the early 19th century from early , modern , with influence from .","Early","","/ˈwɪldəbist/","Remember the double E","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"will","(now uncommon or literary) To wish, desire (something).","The word ___ is important to understand.","1","Beginner","From .","","","/wɪl/","Remember the double L","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wimple","A cloth which usually covers the head and is worn around the neck and chin. It was worn by women in medieval Europe and is still worn by nuns in certain orders.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ˈwɪmpəl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"wince","A sudden movement or gesture of shrinking away.","The word ___ is important to understand.","1","Beginner","From , from  (compare ), from , related to . See also .","","","/wɪns/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"windbaggery","","","4","Advanced","From .","","","","Remember the double G","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"window","The inedible parts of a grain-producing plant.","The word ___ is important to understand.","2","Elementary","
From , , from , equivalent to . Cognate with  and , , , , , archaic , . Displaced native  (the rare direct descendant is ). The “windows” among early Germanic peoples were just unglazed holes (eyes) in the wall or roof that permitted wind to pass through .","","","/ˈwɪndəʊ/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"winegrower","A person or company that owns a vineyard and produces wine.","The word ___ is important to understand.","4","Advanced","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"winged","Having wings.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/wɪŋ(ɪ)d/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","Dictionary API","Claude"
"wings","An appendage of an animal's (bird, bat, insect) body that enables it to fly; a similar fin at the side of a ray or similar fish","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/wɪŋz/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"winner","One who has won or often wins.","The word ___ is important to understand.","2","Elementary",", , equivalent to . Compare , ,  and , , , , , , .","","","/ˈwɪnə/","Remember the double N","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"winning","To conquer, defeat.","The word ___ is important to understand.","2","Elementary","From , equivalent to .","","","/ˈwɪnɪŋ/","Remember the double N","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"winnow","That which winnows or which is used in winnowing; a contrivance for fanning or winnowing grain.","The word ___ is important to understand.","2","Elementary","From , , , from , from , from , , from . Cognate with , , . See , .","","","/ˈwɪnəʊ/","Remember the double N","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"winsome","Charming, engaging, winning; inspiring approval and trust, especially if in an innocent manner.","The word ___ is important to understand.","1","Beginner","
, , , , , from , from . .","","","/ˈwɪn.s(ə)m/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/winsome-au.mp3","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"winter","Traditionally the fourth of the four seasons, typically regarded as being from December 23 to March 20 in continental regions of the Northern Hemisphere or the months of June, July and August in the Southern Hemisphere. It is the time when the sun is lowest in the sky, resulting in short days, and the time of year with the lowest atmospheric temperatures for the region.","The word ___ is important to understand.","2","Elementary","From , from , from . Cognate with , , , ,  and , .","","","/ˈwɪntɚ/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"wisdom","An element of personal character that enables one to distinguish the wise from the unwise.","The word ___ is important to understand.","2","Elementary","
From , from , from , from , corresponding to . Cognate with , , , , Danish/Norwegian/Swedish , .","","","/ˈwɪzdəm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wish","A desire, hope, or longing for something or for something to happen.","The word ___ is important to understand.","1","Beginner","From , , , from , from , from , from .

Cognate with , , , , , , , , , .","","","/wɪʃ/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"wistful","Full of longing or yearning.","The word ___ is important to understand.","2","Elementary","Presumably from , from  + , based on older . It is implausible that it derives from , the required sound change being  →  → , which could not occur in Modern English, particularly not with  continuing in use. However, the sense of “longing” appears to be influenced by , making  an ambiguous poetic word.<ref></ref>","","","/ˈwɪstfəl/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"witch","A person who practices witchcraft; a woman or man who practices witchcraft.","The word ___ is important to understand.","1","Beginner","From , from  and  m., deverbative from , from  (compare , , , , ), from , derivation of ;<ref>Guus Kroonen, ''Etymological Dictionary of Proto-Germanic'' (Leiden: Brill, 2013), 586.</ref> akin to , , .","","","/wɪtʃ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"with","Along, together with others, in a group, etc.","The word ___ is important to understand.","1","Beginner","A shortened form of withar , cognate with  and .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"withered","To shrivel, droop or dry up, especially from lack of water.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ˈwɪðəd/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","Dictionary API","Claude"
"withers","To shrivel, droop or dry up, especially from lack of water.","The word ___ is important to understand.","1","Beginner","From dialectal English  (compare ''wither-'') ; see . So-named because it is the part of the horse that pushes ''against'' a load. Compare , from  + .<ref></ref>","Dialectal","","/ˈwɪð.əz/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"without","Outside, externally. This is still used in the names of some civil parishes in England, e.g. St Cuthbert Without.","The word ___ is important to understand.","2","Elementary","From , , from . Compare , , , . . 

Superseded non-native , , from , , .","","","/wɪθˈʌʊt/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"witnessing","To furnish proof of, to show.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","","Remember the double S","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"wittselbach","","","4","Advanced","Etymology uncertain","","","","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"wizard","Someone, usually male, who uses (or has skill with) magic, mystic items, and magical and mystical practices.","The word ___ is important to understand.","2","Elementary","
From , , equivalent to . A uniquely medieval Anglo-Saxon word with no known morphologically exact cognates inside the Germanic family; did not gain distinct sense of ""occultist, magic user"" (as opposed to a philosopher or sage) until , aligning roughly with the starting .

However, via  cognate with  (whence ),  (, ), ).
 
The sense of ""old (male) virgin"" is from a Japanese Internet meme where virgins who are typically friendless, shy, outcasts, and loners who don't fit in anywhere, legendarily","A","","/ˈwɪ.zəd/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wizened","To wither; to become, or make, lean and wrinkled by shrinkage, as from age or illness.","The word ___ is important to understand.","2","Elementary","From .

Inherited from , from , , from . Cognate with .","","","/ˈwizənd/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"woad","The plant Isatis tinctoria.","The word ___ is important to understand.","1","Beginner","From , from , from , from , from . Cognate with , , , and with ,  (both borrowed from ). See also .","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"wobbulator","","","4","Advanced","Etymology uncertain","","","","Remember the double B","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"wobbulatormahogany","","","5","Expert","Etymology uncertain","","","","Remember the double B","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"woebegone","In a deplorable state.","The word ___ is important to understand.","4","Advanced","From , from  + . Equivalent to  (past participle of ).","","","/ˈwəʊbɪɡɒn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wok","A large, oriental, round-bottomed cooking pan.","The word ___ is important to understand.","1","Beginner","From .","","","/wɒk/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"wolfsbane","Any of several poisonous perennial herbs of the genus Aconitum.","The word ___ is important to understand.","4","Advanced","From , a , from  + . Influenced by .","","","/ˈwʊlfsbeɪn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"woman","An adult female human.","The word ___ is important to understand.","1","Beginner","
From , , , from , a compound of |pos2=whence |t1=woman, female|mann|t2=person, human being}}. For details on the pronunciation and spelling history, see the usage notes below.

Cognate with , , . Similar constructions can be found in  (from  and , literally ""woman human"").

A few alternative spellings (see below) respell the term so as not to contain ''man''.","","","/ˈwʊmɘn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wombat","Any of several herbivorous, burrowing marsupials, of the family Vombatidae, mainly found in southern and eastern Australia.","The word ___ is important to understand.","2","Elementary",", , or . It was originally written  in English.","Was","","/ˈwɒm.bæt/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"women","An adult female human.","The word ___ is important to understand.","1","Beginner","From , from , from  + , equivalent to . Spelling (with ''o'') influenced by the singular; see  for more.","","","/ˈwɪmən/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"womyn","An adult female human.","The word ___ is important to understand.","1","Beginner","From  and ; respelled so as not to contain the word  or . Compare .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"won","To conquer, defeat.","The word ___ is important to understand.","1","Beginner",".","","","/wʌn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wonder","Something that causes amazement or awe; a marvel.","The word ___ is important to understand.","2","Elementary","
From , , from , from , from .

Cognate with , , , , , , , ,  and , .

The verb is from , from , which is from . Cognate with , , , , , , .","","","/ˈwʌndə/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"wood","The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/wʊd/","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","Dictionary API","Claude"
"woodwind","Any (typically wooden) musical instrument that produces sound by the player blowing into it, through a reed, or across an opening. Woodwind instruments include the recorder, flute, piccolo, clarinet, oboe, cor anglais and bassoon.","The word ___ is important to understand.","3","Intermediate","From .","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","","Claude"
"woogie","","","2","Elementary","Etymology uncertain","","","","Remember the double O; Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"wool","The hair of the sheep, llama and some other ruminants.","The word ___ is important to understand.","1","Beginner","
From , from , from , from , from .


Cognate with , , , , ; also , , , , , , . .


The vowel development ''u'' → ''o'' → ''oo'' is purely graphical. Modern English generally avoids the string ⟨wu⟩ in favour of ⟨wo⟩, and the resulting ''woll'' was then altered to ''wool'' (as supposedly better representing the pronunciation).","","","/wʊl/","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"woolsey","","","2","Elementary","Etymology uncertain","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"wootz","","","1","Beginner","According to the ''American Heritage Dictionary'', probably from a misreading of ''wook'', an English transcription of (the root of) ,, ; akin to  and .","A","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"wootzy","","","2","Elementary","Etymology uncertain","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"word","The smallest unit of language that has a particular meaning and can be expressed by itself; the smallest discrete, meaningful unit of language. (contrast morpheme.)","The word ___ is important to understand.","1","Beginner","From , from , from , from .","","","/wɜːd/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wordmonger","","","4","Advanced","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"words","The smallest unit of language that has a particular meaning and can be expressed by itself; the smallest discrete, meaningful unit of language. (contrast morpheme.)","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/wɜːdz/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"work","(heading) Employment.","The word ___ is important to understand.","1","Beginner","From .","","","/wɜːk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"worker","A person who performs labor for a living, especially manual labor.","The word ___ is important to understand.","2","Elementary","From , , , equivalent to . Displaced the older term , from .","","","/ˈwɜː.kə/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"workhorse","A horse used primarily for manual labor; a draft horse","The word ___ is important to understand.","1","Beginner","From , equivalent to .","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/workhorse-us.mp3","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"works","(heading) Employment.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/wɜːks/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"world","(with ""the"") Human collective existence; existence in general.","The word ___ is important to understand.","1","Beginner","
From , , from , from , from , equivalent to . Eclipsed non-native , from , . Cognate with , , , , , , , , , , , , , .","","","/wɝld/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"worldmath","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"worried","Thinking about unpleasant things that have happened or that might happen; feeling afraid and unhappy.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ˈwʌɹid/","Remember the double R; Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"worrywart","A person who worries excessively, especially about unimportant matters.","The word ___ is important to understand.","2","Elementary","From , apparently chosen for . Presumably related to earlier . Attested 1956,<ref></ref> but earlier examples are found in newspapers of the 1930s and 1940s.<ref>[http://wordcraft.infopop.cc/eve/forums/a/tpc/f/932607094/m/7671019934 Word Craft Forum: Worry Wort]</ref>","","","/ˈwʌɹ.ɪˌwɔːt/","Remember the double R","[]","https://api.dictionaryapi.dev/media/pronunciations/en/worrywart-au.mp3","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"worse","Unfavorable; negative; not good.","The word ___ is important to understand.","1","Beginner","
From , , from , from , from . Cognate with .","","","/wɜːs/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"worth","Value.","The word ___ is important to understand.","1","Beginner","Permanently lenited form of .","","","/wɜːθ/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"would","Something that would happen, or would be the case, under different circumstances; a potentiality.","The word ___ is important to understand.","1","Beginner","From , past tense of , predecessor of .

The loss of  in this word is probably due to weak stress, as in  and  (though in the latter, the letter l was originally silent before becoming a spelling pronunciation).<ref name=""Dobson""></ref>","Was","","/wʊd/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"wow","Anything exceptionally surprising, unbelievable, outstanding, etc.","The word ___ is important to understand.","1","Beginner",".","","","/waʊ̯/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"wraith","A ghost or specter, especially a person's likeness seen just after their death.","The word ___ is important to understand.","2","Elementary",", first attested in 1513 as a translation of the Aeneid.<ref>
|year=1513
|volume=10
|translator=
|chapter=X
|section=lines 81–82
|passage=Nor ȝit na vayn wrathys nor gaiſtis quent / Thi char conſtrenyt bakwart forto went
|translation=Nor yet no vain wraiths nor quaint ghosts / constrained Thy chariot to go backward}}
</ref><ref>
|year=1513
|volume=10
|translator=
|chapter=XI
|section=lines 95–96
|passage=Syklyke as that, thai ſay, in diuers placis / The wraithis walkis of goiſtis that ar ded
|tr","","","/ɹeɪθ/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"wrapped","To enclose (an object) completely in any flexible, thin material such as fabric or paper.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ɹæpt/","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","Dictionary API","Claude"
"wrath","Great anger.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/ɹæθ/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Claude","Dictionary API","Claude"
"wreaked","To cause something harmful; to afflict; to inflict; to harm or injury; to let out something harmful; .","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","","Claude"
"wreath","Something twisted, intertwined, or curled.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/ɹiːθ/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Claude","Dictionary API","Claude"
"wreckage","Something wrecked, especially the remains or debris of something which has been severely damaged or destroyed.","The word ___ is important to understand.","4","Advanced","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"wren","Any member of a mainly New World passerine bird family Troglodytidae; true wren.","The word ___ is important to understand.","1","Beginner","From , , from , , , , , from , from .

Cognate with , , , , .","","","/ɹɛn/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"wrench","A movement that twists or pulls violently; a tug.","The word ___ is important to understand.","2","Elementary",", from , from .","","","/ɹɛnt͡ʃ̩̩/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
